,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,lat1,lat2,lon1,lon2
41.7612#-87.5781,405,2744,4991,41.7598,41.76256,-87.5799,-87.57638
41.7612#-87.5746,406,2745,4992,41.7598,41.76256,-87.57638,-87.57285999999999
41.7612#-87.5676,408,2747,4993,41.7598,41.76256,-87.56935,-87.56583
41.7612#-87.5641,409,2748,4994,41.7598,41.76256,-87.56583,-87.56231
41.7612#-87.5606,410,2749,4995,41.7598,41.76256,-87.56231,-87.55879
41.7612#-87.5570,411,2750,4996,41.7598,41.76256,-87.55879,-87.55528000000001
41.7639#-87.7013,413,2752,4997,41.76256,41.76533,-87.70302,-87.6995
41.7639#-87.6942,414,2753,4998,41.76256,41.76533,-87.69598,-87.69246
41.7639#-87.6907,415,2754,4999,41.76256,41.76533,-87.69246,-87.68894
41.7639#-87.6872,416,2755,5000,41.76256,41.76533,-87.68894,-87.68543000000001
41.7639#-87.6837,417,2756,5001,41.76256,41.76533,-87.68543000000001,-87.68191
41.7639#-87.6731,418,2757,5002,41.76256,41.76533,-87.67487,-87.67135999999999
41.7639#-87.6696,419,2758,5003,41.76256,41.76533,-87.67135999999999,-87.66784
41.7639#-87.6661,420,2759,5004,41.76256,41.76533,-87.66784,-87.66431999999999
41.7639#-87.6626,421,2760,5005,41.76256,41.76533,-87.66431999999999,-87.6608
41.7639#-87.6590,422,2761,5006,41.76256,41.76533,-87.6608,-87.65729
41.7639#-87.6555,423,2762,5007,41.76256,41.76533,-87.65729,-87.65377
41.7639#-87.6520,424,2763,5008,41.76256,41.76533,-87.65377,-87.65025
41.7639#-87.6485,425,2764,5009,41.76256,41.76533,-87.65025,-87.64673
41.7639#-87.6450,426,2765,5010,41.76256,41.76533,-87.64673,-87.64322
41.7639#-87.6415,427,2766,5011,41.76256,41.76533,-87.64322,-87.6397
41.7639#-87.6379,428,2767,5012,41.76256,41.76533,-87.6397,-87.63618000000001
41.7639#-87.6344,429,2768,5013,41.76256,41.76533,-87.63618000000001,-87.63266
41.7639#-87.6309,430,2769,5014,41.76256,41.76533,-87.63266,-87.62915
41.7639#-87.6274,431,2770,5015,41.76256,41.76533,-87.62915,-87.62563
41.7639#-87.6239,432,2771,5016,41.76256,41.76533,-87.62563,-87.62210999999999
41.7639#-87.6204,433,2772,5017,41.76256,41.76533,-87.62210999999999,-87.61859
41.7639#-87.6168,434,2773,5018,41.76256,41.76533,-87.61859,-87.61508
41.7639#-87.6133,435,2774,5019,41.76256,41.76533,-87.61508,-87.61156
41.7639#-87.6098,436,2775,5020,41.76256,41.76533,-87.61156,-87.60804
41.7639#-87.5957,437,2776,5021,41.76256,41.76533,-87.59749000000001,-87.59397
41.7639#-87.5887,439,2778,5022,41.76256,41.76533,-87.59045,-87.58693000000001
41.7639#-87.5852,440,2779,5023,41.76256,41.76533,-87.58693000000001,-87.58341999999999
41.7639#-87.5817,441,2780,5024,41.76256,41.76533,-87.58341999999999,-87.5799
41.7639#-87.5781,442,2781,5025,41.76256,41.76533,-87.5799,-87.57638
41.7639#-87.5746,443,2782,5026,41.76256,41.76533,-87.57638,-87.57285999999999
41.7639#-87.5676,445,2784,5027,41.76256,41.76533,-87.56935,-87.56583
41.7639#-87.5641,446,2785,5028,41.76256,41.76533,-87.56583,-87.56231
41.7639#-87.5606,447,2786,5029,41.76256,41.76533,-87.56231,-87.55879
41.7667#-87.6907,449,2788,5030,41.76533,41.76809,-87.69246,-87.68894
41.7667#-87.6872,450,2789,5031,41.76533,41.76809,-87.68894,-87.68543000000001
41.7667#-87.6837,451,2790,5032,41.76533,41.76809,-87.68543000000001,-87.68191
41.7667#-87.6731,452,2791,5033,41.76533,41.76809,-87.67487,-87.67135999999999
41.7667#-87.6696,453,2792,5034,41.76533,41.76809,-87.67135999999999,-87.66784
41.7667#-87.6661,454,2793,5035,41.76533,41.76809,-87.66784,-87.66431999999999
41.7667#-87.6626,455,2794,5036,41.76533,41.76809,-87.66431999999999,-87.6608
41.7667#-87.6590,456,2795,5037,41.76533,41.76809,-87.6608,-87.65729
41.7667#-87.6555,457,2796,5038,41.76533,41.76809,-87.65729,-87.65377
41.7667#-87.6520,458,2797,5039,41.76533,41.76809,-87.65377,-87.65025
41.7667#-87.6485,459,2798,5040,41.76533,41.76809,-87.65025,-87.64673
41.7667#-87.6450,460,2799,5041,41.76533,41.76809,-87.64673,-87.64322
41.7667#-87.6415,461,2800,5042,41.76533,41.76809,-87.64322,-87.6397
41.7667#-87.6379,462,2801,5043,41.76533,41.76809,-87.6397,-87.63618000000001
41.7667#-87.6344,463,2802,5044,41.76533,41.76809,-87.63618000000001,-87.63266
41.7667#-87.6309,464,2803,5045,41.76533,41.76809,-87.63266,-87.62915
41.7667#-87.6274,465,2804,5046,41.76533,41.76809,-87.62915,-87.62563
41.7667#-87.6239,466,2805,5047,41.76533,41.76809,-87.62563,-87.62210999999999
41.7667#-87.6204,467,2806,5048,41.76533,41.76809,-87.62210999999999,-87.61859
41.7667#-87.6168,468,2807,5049,41.76533,41.76809,-87.61859,-87.61508
41.7667#-87.6133,469,2808,5050,41.76533,41.76809,-87.61508,-87.61156
41.7667#-87.5887,470,2809,5051,41.76533,41.76809,-87.59045,-87.58693000000001
41.7667#-87.5852,471,2810,5052,41.76533,41.76809,-87.58693000000001,-87.58341999999999
41.7667#-87.5817,472,2811,5053,41.76533,41.76809,-87.58341999999999,-87.5799
41.7667#-87.5781,473,2812,5054,41.76533,41.76809,-87.5799,-87.57638
41.7667#-87.5746,474,2813,5055,41.76533,41.76809,-87.57638,-87.57285999999999
41.7667#-87.5711,475,2814,5056,41.76533,41.76809,-87.57285999999999,-87.56935
41.7667#-87.5676,476,2815,5057,41.76533,41.76809,-87.56935,-87.56583
41.7695#-87.6907,479,2818,5058,41.76809,41.77085,-87.69246,-87.68894
41.7695#-87.6872,480,2819,5059,41.76809,41.77085,-87.68894,-87.68543000000001
41.7695#-87.6837,481,2820,5060,41.76809,41.77085,-87.68543000000001,-87.68191
41.7695#-87.6731,482,2821,5061,41.76809,41.77085,-87.67487,-87.67135999999999
41.7695#-87.6661,483,2822,5062,41.76809,41.77085,-87.66784,-87.66431999999999
41.7695#-87.6626,484,2823,5063,41.76809,41.77085,-87.66431999999999,-87.6608
41.7695#-87.6590,485,2824,5064,41.76809,41.77085,-87.6608,-87.65729
41.7695#-87.6555,486,2825,5065,41.76809,41.77085,-87.65729,-87.65377
41.7695#-87.6520,487,2826,5066,41.76809,41.77085,-87.65377,-87.65025
41.7695#-87.6485,488,2827,5067,41.76809,41.77085,-87.65025,-87.64673
41.7695#-87.6450,489,2828,5068,41.76809,41.77085,-87.64673,-87.64322
41.7695#-87.6415,490,2829,5069,41.76809,41.77085,-87.64322,-87.6397
41.7695#-87.6379,491,2830,5070,41.76809,41.77085,-87.6397,-87.63618000000001
41.7695#-87.6309,492,2831,5071,41.76809,41.77085,-87.63266,-87.62915
41.7695#-87.6274,493,2832,5072,41.76809,41.77085,-87.62915,-87.62563
41.7695#-87.6239,494,2833,5073,41.76809,41.77085,-87.62563,-87.62210999999999
41.7695#-87.6204,495,2834,5074,41.76809,41.77085,-87.62210999999999,-87.61859
41.7695#-87.6168,496,2835,5075,41.76809,41.77085,-87.61859,-87.61508
41.7695#-87.6133,497,2836,5076,41.76809,41.77085,-87.61508,-87.61156
41.7695#-87.6098,498,2837,5077,41.76809,41.77085,-87.61156,-87.60804
41.7695#-87.5887,499,2838,5078,41.76809,41.77085,-87.59045,-87.58693000000001
41.7695#-87.5852,500,2839,5079,41.76809,41.77085,-87.58693000000001,-87.58341999999999
41.7695#-87.5817,501,2840,5080,41.76809,41.77085,-87.58341999999999,-87.5799
41.7695#-87.5746,502,2841,5081,41.76809,41.77085,-87.57638,-87.57285999999999
41.7695#-87.5711,503,2842,5082,41.76809,41.77085,-87.57285999999999,-87.56935
41.7695#-87.5676,504,2843,5083,41.76809,41.77085,-87.56935,-87.56583
41.7722#-87.7013,507,2846,5084,41.77085,41.77362,-87.70302,-87.6995
41.7722#-87.6977,508,2847,5085,41.77085,41.77362,-87.6995,-87.69598
41.7722#-87.6942,509,2848,5086,41.77085,41.77362,-87.69598,-87.69246
41.7722#-87.6907,510,2849,5087,41.77085,41.77362,-87.69246,-87.68894
41.7722#-87.6872,511,2850,5088,41.77085,41.77362,-87.68894,-87.68543000000001
41.7722#-87.6837,512,2851,5089,41.77085,41.77362,-87.68543000000001,-87.68191
41.7722#-87.6801,513,2852,5090,41.77085,41.77362,-87.68191,-87.67839000000001
41.7722#-87.6766,514,2853,5091,41.77085,41.77362,-87.67839000000001,-87.67487
41.7722#-87.6731,515,2854,5092,41.77085,41.77362,-87.67487,-87.67135999999999
41.7722#-87.6696,516,2855,5093,41.77085,41.77362,-87.67135999999999,-87.66784
41.7722#-87.6661,517,2856,5094,41.77085,41.77362,-87.66784,-87.66431999999999
41.7722#-87.6626,518,2857,5095,41.77085,41.77362,-87.66431999999999,-87.6608
41.7722#-87.6590,519,2858,5096,41.77085,41.77362,-87.6608,-87.65729
41.7722#-87.6555,520,2859,5097,41.77085,41.77362,-87.65729,-87.65377
41.7722#-87.6520,521,2860,5098,41.77085,41.77362,-87.65377,-87.65025
41.7722#-87.6485,522,2861,5099,41.77085,41.77362,-87.65025,-87.64673
41.7722#-87.6450,523,2862,5100,41.77085,41.77362,-87.64673,-87.64322
41.7722#-87.6379,524,2863,5101,41.77085,41.77362,-87.6397,-87.63618000000001
41.7722#-87.6344,525,2864,5102,41.77085,41.77362,-87.63618000000001,-87.63266
41.7722#-87.6239,526,2865,5103,41.77085,41.77362,-87.62563,-87.62210999999999
41.7722#-87.6204,527,2866,5104,41.77085,41.77362,-87.62210999999999,-87.61859
41.7722#-87.6133,528,2867,5105,41.77085,41.77362,-87.61508,-87.61156
41.7722#-87.6098,529,2868,5106,41.77085,41.77362,-87.61156,-87.60804
41.7722#-87.6063,530,2869,5107,41.77085,41.77362,-87.60804,-87.60452
41.7722#-87.5887,531,2870,5108,41.77085,41.77362,-87.59045,-87.58693000000001
41.7722#-87.5852,532,2871,5109,41.77085,41.77362,-87.58693000000001,-87.58341999999999
41.7722#-87.5817,533,2872,5110,41.77085,41.77362,-87.58341999999999,-87.5799
41.7722#-87.5781,534,2873,5111,41.77085,41.77362,-87.5799,-87.57638
41.7722#-87.5746,535,2874,5112,41.77085,41.77362,-87.57638,-87.57285999999999
41.7722#-87.5711,536,2875,5113,41.77085,41.77362,-87.57285999999999,-87.56935
41.7722#-87.5676,537,2876,5114,41.77085,41.77362,-87.56935,-87.56583
41.7750#-87.7048,539,2878,5115,41.77362,41.776379999999996,-87.70653,-87.70302
41.7750#-87.6977,540,2879,5116,41.77362,41.776379999999996,-87.6995,-87.69598
41.7750#-87.6942,541,2880,5117,41.77362,41.776379999999996,-87.69598,-87.69246
41.7750#-87.6907,542,2881,5118,41.77362,41.776379999999996,-87.69246,-87.68894
41.7750#-87.6872,543,2882,5119,41.77362,41.776379999999996,-87.68894,-87.68543000000001
41.7750#-87.6837,544,2883,5120,41.77362,41.776379999999996,-87.68543000000001,-87.68191
41.7750#-87.6731,545,2884,5121,41.77362,41.776379999999996,-87.67487,-87.67135999999999
41.7750#-87.6696,546,2885,5122,41.77362,41.776379999999996,-87.67135999999999,-87.66784
41.7750#-87.6661,547,2886,5123,41.77362,41.776379999999996,-87.66784,-87.66431999999999
41.7750#-87.6626,548,2887,5124,41.77362,41.776379999999996,-87.66431999999999,-87.6608
41.7750#-87.6520,549,2888,5125,41.77362,41.776379999999996,-87.65377,-87.65025
41.7750#-87.6485,550,2889,5126,41.77362,41.776379999999996,-87.65025,-87.64673
41.7750#-87.6450,551,2890,5127,41.77362,41.776379999999996,-87.64673,-87.64322
41.7750#-87.6415,552,2891,5128,41.77362,41.776379999999996,-87.64322,-87.6397
41.7750#-87.6379,553,2892,5129,41.77362,41.776379999999996,-87.6397,-87.63618000000001
41.7750#-87.6344,554,2893,5130,41.77362,41.776379999999996,-87.63618000000001,-87.63266
41.7750#-87.6168,555,2894,5131,41.77362,41.776379999999996,-87.61859,-87.61508
41.7750#-87.6133,556,2895,5132,41.77362,41.776379999999996,-87.61508,-87.61156
41.7750#-87.6098,557,2896,5133,41.77362,41.776379999999996,-87.61156,-87.60804
41.7750#-87.6063,558,2897,5134,41.77362,41.776379999999996,-87.60804,-87.60452
41.7750#-87.6028,559,2898,5135,41.77362,41.776379999999996,-87.60452,-87.60101
41.7750#-87.5993,560,2899,5136,41.77362,41.776379999999996,-87.60101,-87.59749000000001
41.7750#-87.5957,561,2900,5137,41.77362,41.776379999999996,-87.59749000000001,-87.59397
41.7750#-87.5887,562,2901,5138,41.77362,41.776379999999996,-87.59045,-87.58693000000001
41.7778#-87.7048,567,2906,5139,41.776379999999996,41.77915,-87.70653,-87.70302
41.7778#-87.7013,568,2907,5140,41.776379999999996,41.77915,-87.70302,-87.6995
41.7778#-87.6977,569,2908,5141,41.776379999999996,41.77915,-87.6995,-87.69598
41.7778#-87.6942,570,2909,5142,41.776379999999996,41.77915,-87.69598,-87.69246
41.7778#-87.6907,571,2910,5143,41.776379999999996,41.77915,-87.69246,-87.68894
41.7778#-87.6872,572,2911,5144,41.776379999999996,41.77915,-87.68894,-87.68543000000001
41.7778#-87.6837,573,2912,5145,41.776379999999996,41.77915,-87.68543000000001,-87.68191
41.7778#-87.6766,574,2913,5146,41.776379999999996,41.77915,-87.67839000000001,-87.67487
41.7778#-87.6731,575,2914,5147,41.776379999999996,41.77915,-87.67487,-87.67135999999999
41.7778#-87.6696,576,2915,5148,41.776379999999996,41.77915,-87.67135999999999,-87.66784
41.7778#-87.6661,577,2916,5149,41.776379999999996,41.77915,-87.66784,-87.66431999999999
41.7778#-87.6626,578,2917,5150,41.776379999999996,41.77915,-87.66431999999999,-87.6608
41.7778#-87.6590,579,2918,5151,41.776379999999996,41.77915,-87.6608,-87.65729
41.7778#-87.6555,580,2919,5152,41.776379999999996,41.77915,-87.65729,-87.65377
41.7778#-87.6520,581,2920,5153,41.776379999999996,41.77915,-87.65377,-87.65025
41.7778#-87.6485,582,2921,5154,41.776379999999996,41.77915,-87.65025,-87.64673
41.7778#-87.6450,583,2922,5155,41.776379999999996,41.77915,-87.64673,-87.64322
41.7778#-87.6415,584,2923,5156,41.776379999999996,41.77915,-87.64322,-87.6397
41.7778#-87.6379,585,2924,5157,41.776379999999996,41.77915,-87.6397,-87.63618000000001
41.7778#-87.6344,586,2925,5158,41.776379999999996,41.77915,-87.63618000000001,-87.63266
41.7778#-87.6168,588,2927,5159,41.776379999999996,41.77915,-87.61859,-87.61508
41.7778#-87.6133,589,2928,5160,41.776379999999996,41.77915,-87.61508,-87.61156
41.7778#-87.6098,590,2929,5161,41.776379999999996,41.77915,-87.61156,-87.60804
41.7778#-87.6063,591,2930,5162,41.776379999999996,41.77915,-87.60804,-87.60452
41.7778#-87.6028,592,2931,5163,41.776379999999996,41.77915,-87.60452,-87.60101
41.7778#-87.5993,593,2932,5164,41.776379999999996,41.77915,-87.60101,-87.59749000000001
41.7805#-87.7048,597,2936,5165,41.77915,41.781909999999996,-87.70653,-87.70302
41.7805#-87.7013,598,2937,5166,41.77915,41.781909999999996,-87.70302,-87.6995
41.7805#-87.6977,599,2938,5167,41.77915,41.781909999999996,-87.6995,-87.69598
41.7805#-87.6942,600,2939,5168,41.77915,41.781909999999996,-87.69598,-87.69246
41.7805#-87.6907,601,2940,5169,41.77915,41.781909999999996,-87.69246,-87.68894
41.7805#-87.6872,602,2941,5170,41.77915,41.781909999999996,-87.68894,-87.68543000000001
41.7805#-87.6837,603,2942,5171,41.77915,41.781909999999996,-87.68543000000001,-87.68191
41.7805#-87.6766,604,2943,5172,41.77915,41.781909999999996,-87.67839000000001,-87.67487
41.7805#-87.6731,605,2944,5173,41.77915,41.781909999999996,-87.67487,-87.67135999999999
41.7805#-87.6696,606,2945,5174,41.77915,41.781909999999996,-87.67135999999999,-87.66784
41.7805#-87.6661,607,2946,5175,41.77915,41.781909999999996,-87.66784,-87.66431999999999
41.7805#-87.6626,608,2947,5176,41.77915,41.781909999999996,-87.66431999999999,-87.6608
41.7805#-87.6590,609,2948,5177,41.77915,41.781909999999996,-87.6608,-87.65729
41.7805#-87.6555,610,2949,5178,41.77915,41.781909999999996,-87.65729,-87.65377
41.7805#-87.6520,611,2950,5179,41.77915,41.781909999999996,-87.65377,-87.65025
41.7805#-87.6485,612,2951,5180,41.77915,41.781909999999996,-87.65025,-87.64673
41.7805#-87.6450,613,2952,5181,41.77915,41.781909999999996,-87.64673,-87.64322
41.7805#-87.6415,614,2953,5182,41.77915,41.781909999999996,-87.64322,-87.6397
41.7805#-87.6379,615,2954,5183,41.77915,41.781909999999996,-87.6397,-87.63618000000001
41.7805#-87.6344,616,2955,5184,41.77915,41.781909999999996,-87.63618000000001,-87.63266
41.7805#-87.6309,617,2956,5185,41.77915,41.781909999999996,-87.63266,-87.62915
41.7805#-87.6204,618,2957,5186,41.77915,41.781909999999996,-87.62210999999999,-87.61859
41.7805#-87.6168,619,2958,5187,41.77915,41.781909999999996,-87.61859,-87.61508
41.7805#-87.6133,620,2959,5188,41.77915,41.781909999999996,-87.61508,-87.61156
41.7805#-87.6098,621,2960,5189,41.77915,41.781909999999996,-87.61156,-87.60804
41.7805#-87.6063,622,2961,5190,41.77915,41.781909999999996,-87.60804,-87.60452
41.7805#-87.6028,623,2962,5191,41.77915,41.781909999999996,-87.60452,-87.60101
41.7805#-87.5852,625,2964,5192,41.77915,41.781909999999996,-87.58693000000001,-87.58341999999999
41.7833#-87.7048,626,2965,5193,41.781909999999996,41.78467,-87.70653,-87.70302
41.7833#-87.7013,627,2966,5194,41.781909999999996,41.78467,-87.70302,-87.6995
41.7833#-87.6977,628,2967,5195,41.781909999999996,41.78467,-87.6995,-87.69598
41.7833#-87.6942,629,2968,5196,41.781909999999996,41.78467,-87.69598,-87.69246
41.7833#-87.6907,630,2969,5197,41.781909999999996,41.78467,-87.69246,-87.68894
41.7833#-87.6872,631,2970,5198,41.781909999999996,41.78467,-87.68894,-87.68543000000001
41.7833#-87.6837,632,2971,5199,41.781909999999996,41.78467,-87.68543000000001,-87.68191
41.7833#-87.6731,633,2972,5200,41.781909999999996,41.78467,-87.67487,-87.67135999999999
41.7833#-87.6696,634,2973,5201,41.781909999999996,41.78467,-87.67135999999999,-87.66784
41.7833#-87.6661,635,2974,5202,41.781909999999996,41.78467,-87.66784,-87.66431999999999
41.7833#-87.6626,636,2975,5203,41.781909999999996,41.78467,-87.66431999999999,-87.6608
41.7833#-87.6590,637,2976,5204,41.781909999999996,41.78467,-87.6608,-87.65729
41.7833#-87.6555,638,2977,5205,41.781909999999996,41.78467,-87.65729,-87.65377
41.7833#-87.6520,639,2978,5206,41.781909999999996,41.78467,-87.65377,-87.65025
41.7833#-87.6485,640,2979,5207,41.781909999999996,41.78467,-87.65025,-87.64673
41.7833#-87.6450,641,2980,5208,41.781909999999996,41.78467,-87.64673,-87.64322
41.7833#-87.6415,642,2981,5209,41.781909999999996,41.78467,-87.64322,-87.6397
41.7833#-87.6379,643,2982,5210,41.781909999999996,41.78467,-87.6397,-87.63618000000001
41.7833#-87.6239,644,2983,5211,41.781909999999996,41.78467,-87.62563,-87.62210999999999
41.7833#-87.6204,645,2984,5212,41.781909999999996,41.78467,-87.62210999999999,-87.61859
41.7833#-87.6168,646,2985,5213,41.781909999999996,41.78467,-87.61859,-87.61508
41.7833#-87.6133,647,2986,5214,41.781909999999996,41.78467,-87.61508,-87.61156
41.7833#-87.6098,648,2987,5215,41.781909999999996,41.78467,-87.61156,-87.60804
41.7833#-87.6063,649,2988,5216,41.781909999999996,41.78467,-87.60804,-87.60452
41.7833#-87.6028,650,2989,5217,41.781909999999996,41.78467,-87.60452,-87.60101
41.7833#-87.5957,652,2991,5218,41.781909999999996,41.78467,-87.59749000000001,-87.59397
41.7833#-87.5922,653,2992,5219,41.781909999999996,41.78467,-87.59397,-87.59045
41.7833#-87.5852,654,2993,5220,41.781909999999996,41.78467,-87.58693000000001,-87.58341999999999
41.7861#-87.7048,657,2996,5221,41.78467,41.787440000000004,-87.70653,-87.70302
41.7861#-87.7013,658,2997,5222,41.78467,41.787440000000004,-87.70302,-87.6995
41.7861#-87.6977,659,2998,5223,41.78467,41.787440000000004,-87.6995,-87.69598
41.7861#-87.6942,660,2999,5224,41.78467,41.787440000000004,-87.69598,-87.69246
41.7861#-87.6907,661,3000,5225,41.78467,41.787440000000004,-87.69246,-87.68894
41.7861#-87.6872,662,3001,5226,41.78467,41.787440000000004,-87.68894,-87.68543000000001
41.7861#-87.6837,663,3002,5227,41.78467,41.787440000000004,-87.68543000000001,-87.68191
41.7861#-87.6731,664,3003,5228,41.78467,41.787440000000004,-87.67487,-87.67135999999999
41.7861#-87.6696,665,3004,5229,41.78467,41.787440000000004,-87.67135999999999,-87.66784
41.7861#-87.6661,666,3005,5230,41.78467,41.787440000000004,-87.66784,-87.66431999999999
41.7861#-87.6626,667,3006,5231,41.78467,41.787440000000004,-87.66431999999999,-87.6608
41.7861#-87.6590,668,3007,5232,41.78467,41.787440000000004,-87.6608,-87.65729
41.7861#-87.6555,669,3008,5233,41.78467,41.787440000000004,-87.65729,-87.65377
41.7861#-87.6520,670,3009,5234,41.78467,41.787440000000004,-87.65377,-87.65025
41.7861#-87.6485,671,3010,5235,41.78467,41.787440000000004,-87.65025,-87.64673
41.7861#-87.6450,672,3011,5236,41.78467,41.787440000000004,-87.64673,-87.64322
41.7861#-87.6379,673,3012,5237,41.78467,41.787440000000004,-87.6397,-87.63618000000001
41.7861#-87.6239,674,3013,5238,41.78467,41.787440000000004,-87.62563,-87.62210999999999
41.7861#-87.6204,675,3014,5239,41.78467,41.787440000000004,-87.62210999999999,-87.61859
41.7861#-87.6168,676,3015,5240,41.78467,41.787440000000004,-87.61859,-87.61508
41.7861#-87.6133,677,3016,5241,41.78467,41.787440000000004,-87.61508,-87.61156
41.7861#-87.6098,678,3017,5242,41.78467,41.787440000000004,-87.61156,-87.60804
41.7861#-87.6063,679,3018,5243,41.78467,41.787440000000004,-87.60804,-87.60452
41.7888#-87.7399,680,3019,5244,41.787440000000004,41.7902,-87.74171,-87.73819
41.7888#-87.6872,685,3024,5245,41.787440000000004,41.7902,-87.68894,-87.68543000000001
41.7888#-87.6837,686,3025,5246,41.787440000000004,41.7902,-87.68543000000001,-87.68191
41.7888#-87.6731,687,3026,5247,41.787440000000004,41.7902,-87.67487,-87.67135999999999
41.7888#-87.6696,688,3027,5248,41.787440000000004,41.7902,-87.67135999999999,-87.66784
41.7888#-87.6661,689,3028,5249,41.787440000000004,41.7902,-87.66784,-87.66431999999999
41.7888#-87.6626,690,3029,5250,41.787440000000004,41.7902,-87.66431999999999,-87.6608
41.7888#-87.6555,691,3030,5251,41.787440000000004,41.7902,-87.65729,-87.65377
41.7888#-87.6520,692,3031,5252,41.787440000000004,41.7902,-87.65377,-87.65025
41.7888#-87.6485,693,3032,5253,41.787440000000004,41.7902,-87.65025,-87.64673
41.7888#-87.6450,694,3033,5254,41.787440000000004,41.7902,-87.64673,-87.64322
41.7888#-87.6239,695,3034,5255,41.787440000000004,41.7902,-87.62563,-87.62210999999999
41.7888#-87.6204,696,3035,5256,41.787440000000004,41.7902,-87.62210999999999,-87.61859
41.7888#-87.6168,697,3036,5257,41.787440000000004,41.7902,-87.61859,-87.61508
41.7916#-87.6872,700,3039,5258,41.7902,41.79296,-87.68894,-87.68543000000001
41.7916#-87.6766,702,3041,5259,41.7902,41.79296,-87.67839000000001,-87.67487
41.7916#-87.6731,703,3042,5260,41.7902,41.79296,-87.67487,-87.67135999999999
41.7916#-87.6696,704,3043,5261,41.7902,41.79296,-87.67135999999999,-87.66784
41.7916#-87.6661,705,3044,5262,41.7902,41.79296,-87.66784,-87.66431999999999
41.7916#-87.6626,706,3045,5263,41.7902,41.79296,-87.66431999999999,-87.6608
41.7916#-87.6590,707,3046,5264,41.7902,41.79296,-87.6608,-87.65729
41.7916#-87.6520,708,3047,5265,41.7902,41.79296,-87.65377,-87.65025
41.7916#-87.6450,709,3048,5266,41.7902,41.79296,-87.64673,-87.64322
41.7916#-87.6239,710,3049,5267,41.7902,41.79296,-87.62563,-87.62210999999999
41.7916#-87.6204,711,3050,5268,41.7902,41.79296,-87.62210999999999,-87.61859
41.7916#-87.6168,712,3051,5269,41.7902,41.79296,-87.61859,-87.61508
41.7943#-87.7048,718,3057,5270,41.79296,41.79573,-87.70653,-87.70302
41.7943#-87.6942,720,3059,5271,41.79296,41.79573,-87.69598,-87.69246
41.7943#-87.6766,721,3060,5272,41.79296,41.79573,-87.67839000000001,-87.67487
41.7943#-87.6731,722,3061,5273,41.79296,41.79573,-87.67487,-87.67135999999999
41.7943#-87.6696,723,3062,5274,41.79296,41.79573,-87.67135999999999,-87.66784
41.7943#-87.6661,724,3063,5275,41.79296,41.79573,-87.66784,-87.66431999999999
41.7943#-87.6626,725,3064,5276,41.79296,41.79573,-87.66431999999999,-87.6608
41.7943#-87.6590,726,3065,5277,41.79296,41.79573,-87.6608,-87.65729
41.7943#-87.6555,727,3066,5278,41.79296,41.79573,-87.65729,-87.65377
41.7943#-87.6520,728,3067,5279,41.79296,41.79573,-87.65377,-87.65025
41.7943#-87.6485,729,3068,5280,41.79296,41.79573,-87.65025,-87.64673
41.7943#-87.6450,730,3069,5281,41.79296,41.79573,-87.64673,-87.64322
41.7943#-87.6415,731,3070,5282,41.79296,41.79573,-87.64322,-87.6397
41.7943#-87.6344,732,3071,5283,41.79296,41.79573,-87.63618000000001,-87.63266
41.7943#-87.6309,733,3072,5284,41.79296,41.79573,-87.63266,-87.62915
41.7943#-87.6274,734,3073,5285,41.79296,41.79573,-87.62915,-87.62563
41.7943#-87.6239,735,3074,5286,41.79296,41.79573,-87.62563,-87.62210999999999
41.7943#-87.6204,736,3075,5287,41.79296,41.79573,-87.62210999999999,-87.61859
41.7943#-87.6168,737,3076,5288,41.79296,41.79573,-87.61859,-87.61508
41.7971#-87.7224,744,3083,5289,41.79573,41.79849,-87.72412,-87.7206
41.7971#-87.7048,745,3084,5290,41.79573,41.79849,-87.70653,-87.70302
41.7971#-87.6766,749,3088,5291,41.79573,41.79849,-87.67839000000001,-87.67487
41.7971#-87.6731,750,3089,5292,41.79573,41.79849,-87.67487,-87.67135999999999
41.7971#-87.6696,751,3090,5293,41.79573,41.79849,-87.67135999999999,-87.66784
41.7971#-87.6661,752,3091,5294,41.79573,41.79849,-87.66784,-87.66431999999999
41.7971#-87.6626,753,3092,5295,41.79573,41.79849,-87.66431999999999,-87.6608
41.7971#-87.6450,754,3093,5296,41.79573,41.79849,-87.64673,-87.64322
41.7971#-87.6309,755,3094,5297,41.79573,41.79849,-87.63266,-87.62915
41.7971#-87.6239,756,3095,5298,41.79573,41.79849,-87.62563,-87.62210999999999
41.7971#-87.6204,757,3096,5299,41.79573,41.79849,-87.62210999999999,-87.61859
41.7971#-87.6168,758,3097,5300,41.79573,41.79849,-87.61859,-87.61508
41.7971#-87.6063,759,3098,5301,41.79573,41.79849,-87.60804,-87.60452
41.7971#-87.6028,760,3099,5302,41.79573,41.79849,-87.60452,-87.60101
41.7999#-87.7224,767,3106,5303,41.79849,41.80126,-87.72412,-87.7206
41.7999#-87.6907,769,3108,5304,41.79849,41.80126,-87.69246,-87.68894
41.7999#-87.6872,770,3109,5305,41.79849,41.80126,-87.68894,-87.68543000000001
41.7999#-87.6837,771,3110,5306,41.79849,41.80126,-87.68543000000001,-87.68191
41.7999#-87.6766,772,3111,5307,41.79849,41.80126,-87.67839000000001,-87.67487
