index,auc,auc_rnn,ratio,increase
42,0.8633,0.7539,1.1451120838307467,0.1451120838307467
43,0.9162,0.6719,1.3635957731805328,0.3635957731805328
44,0.8684,0.7859,1.1049751876829113,0.10497518768291125
45,0.8595,0.7289,1.1791740979558238,0.17917409795582384
46,0.8018,0.7941,1.0096965117743357,0.009696511774335725
47,0.8617,0.7138,1.2072008966096945,0.20720089660969454
48,0.8359,0.8114,1.030194725166379,0.030194725166379
49,0.8038,0.6893,1.1661105469316697,0.1661105469316697
50,0.9131,0.7746,1.1788019623031243,0.17880196230312428
51,0.9451,0.7221,1.308821492868024,0.30882149286802396
52,0.8458,0.6537,1.2938656876242927,0.29386568762429266
53,0.8708,0.7734,1.1259374191880012,0.12593741918800117
54,0.941,0.6001,1.5680719880019998,0.5680719880019998
55,0.8154,0.6874,1.1862089031131802,0.18620890311318017
56,0.819,0.7819,1.0474485228290062,0.047448522829006246
57,0.8582,0.6884,1.246658919233004,0.24665891923300398
58,0.8289,0.741,1.1186234817813765,0.1186234817813765
59,0.9423,0.7956,1.1843891402714932,0.18438914027149322
60,0.8304,0.7593,1.0936388779138682,0.09363887791386816
61,0.8548,0.7826,1.0922565806286737,0.0922565806286737
62,0.836,0.7452,1.1218464841653248,0.12184648416532484
63,0.855,0.8292,1.0311143270622285,0.031114327062228497
64,0.803,0.7353,1.0920712634298928,0.0920712634298928
65,0.8576,0.7634,1.1233953366518208,0.12339533665182079
66,0.9073,0.7992,1.1352602602602602,0.13526026026026017
67,0.9114,0.718,1.2693593314763232,0.2693593314763232
68,0.759,0.7844,0.9676185619581846,-0.03238143804181537
69,0.8686,0.8134,1.067863289894271,0.06786328989427104
70,0.7942,0.7851,1.011590880142657,0.011590880142656967
71,0.933,0.7867,1.185966696326427,0.18596669632642704
72,0.653,0.6961,0.9380836086769142,-0.061916391323085795
73,0.9592,0.6312,1.5196451204055768,0.5196451204055768
74,0.8387,0.8056,1.0410873882820257,0.04108738828202574
75,0.8802,0.6815,1.2915627292736611,0.2915627292736611
76,0.8003,0.7724,1.0361211807353703,0.036121180735370295
77,0.8708,0.8324,1.0461316674675636,0.046131667467563586
78,0.9388,0.5402,1.7378748611625323,0.7378748611625323
79,0.8027,0.7669,1.0466814447776762,0.04668144477767622
80,0.8151,0.6977,1.168267163537337,0.16826716353733695
81,0.8229,0.6389,1.287994991391454,0.2879949913914539
82,0.8115,0.8395,0.9666468135795115,-0.033353186420488456
83,0.8736,0.782,1.1171355498721227,0.11713554987212271
84,0.94,0.5816,1.6162310866574965,0.6162310866574965
85,0.8708,0.7886,1.1042353537915293,0.10423535379152926
86,0.7964,0.7797,1.0214184942926767,0.021418494292676726
87,0.8093,0.7287,1.1106079319335804,0.11060793193358043
88,0.898,0.739,1.2151556156968877,0.21515561569688768
89,0.859,0.7628,1.126114315679077,0.12611431567907694
90,0.7648,0.6944,1.1013824884792627,0.10138248847926268
91,0.7746,0.7838,0.9882623118142382,-0.011737688185761819
92,0.9233,0.7501,1.2309025463271563,0.23090254632715634
93,0.8307,0.759,1.0944664031620552,0.09446640316205523
94,0.8066,0.771,1.0461738002594034,0.04617380025940343
95,0.9395,0.7881,1.1921076005583047,0.19210760055830467
96,0.8623,0.7988,1.079494241362043,0.07949424136204297
97,0.7829,0.7756,1.009412068076328,0.009412068076328106
98,0.7926,0.808,0.9809405940594058,-0.019059405940594187
99,0.8107,0.649,1.2491525423728813,0.2491525423728813
100,0.8458,0.7888,1.072261663286004,0.07226166328600403
101,0.8713,0.7712,1.1297977178423235,0.12979771784232352
102,0.8766,0.7698,1.1387373343725644,0.1387373343725644
103,0.8263,0.7696,1.0736746361746363,0.07367463617463632
104,0.852,0.8126,1.0484863401427515,0.04848634014275155
105,0.9121,0.7647,1.1927553288871453,0.1927553288871453
106,0.922,0.762,1.20997375328084,0.2099737532808399
107,0.8557,0.782,1.094245524296675,0.0942455242966751
108,0.7731,0.8521,0.9072878770097407,-0.09271212299025933
109,0.8698,0.7161,1.2146348275380534,0.2146348275380534
110,0.8671,0.723,1.1993084370677731,0.19930843706777313
111,0.8471,0.7845,1.0797960484384959,0.07979604843849586
112,0.8449,0.8244,1.024866569626395,0.024866569626394996
113,0.9012,0.8131,1.1083507563645307,0.10835075636453073
